trial_id,feature_id,signal_variant,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_observations,aggregate_mean_net_return,aggregate_hac_t,p_value,bootstrap_ci_low,bootstrap_ci_high,best_fold_aggregate_mean,worst_fold_aggregate_mean,top_symbol,max_top_symbol_share_abs,fdr_q_value,catastrophic_reversal,temporal_replication
R2B0015,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,3,8,0.125,6821,-0.002065941420616015,-3.177911157123739,0.0014900254401397247,-0.0035247347264124335,-0.0006641183608510125,0.0004608471054413598,-0.005301899704943102,SOLUSDT,0.02880456154523164,0.0023840407042235593,True,NO_REPLICATION
R2B0016,derivatives.premium,PRESSURE_CONTINUATION,4h,LONG,6,8,0.5,6385,-0.0008378661905437983,-0.6906427055773645,0.4898152119490399,-0.0038864633549907366,0.0021698914006124657,0.005696015604590687,-0.00952260522982247,DOGEUSDT,0.05606771057664892,0.5597888136560456,False,NO_REPLICATION
R2B0017,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,3,8,0.125,7102,-0.0038251593134347906,-5.649345282410791,1.6729264094304064e-08,-0.005469712409745988,-0.0023863568431357765,0.0009778198791332092,-0.009884928172818195,BCHUSDT,0.025619395771703652,4.461137091814417e-08,True,NO_REPLICATION
R2B0018,derivatives.premium,PRESSURE_CONTINUATION,4h,SHORT,6,8,0.125,6725,-0.0055706555375854925,-4.41279638287693,1.0363702179220555e-05,-0.009010259686429043,-0.0028744359036119156,0.003758948091100805,-0.013943412079360411,DOGEUSDT,0.040506673202866314,2.2611713845572118e-05,True,NO_REPLICATION
R2B0019,derivatives.premium,CROWDING_REVERSION,15m,LONG,4,8,0.0,109414,-0.0016713428892482917,-27.845407917530125,4.8215830124577386e-170,-0.0018254717849938561,-0.0014907640573249403,-0.0006553538087887702,-0.002212247289176512,BTCUSDT,0.026416974400323704,4.339424711211965e-169,True,NO_REPLICATION
R2B0020,derivatives.premium,CROWDING_REVERSION,15m,LONG,16,8,0.25,89495,-0.001409614259836318,-6.867393631227821,6.581002011653087e-12,-0.0018898027824706127,-0.000831005523140029,0.0004576248571175531,-0.002920061223555115,BTCUSDT,0.024476927583404234,2.060139760169662e-11,True,NO_REPLICATION
R2B0021,derivatives.premium,CROWDING_REVERSION,15m,LONG,48,8,0.5,56274,-0.0009369637303762406,-1.8257508962069462,0.0678930896971151,-0.0022685156187602345,0.0006779173342465018,0.004745093727894724,-0.005285715590423287,EOSUSDT,0.032640970603841676,0.08729111532486226,False,NO_REPLICATION
R2B0022,derivatives.premium,CROWDING_REVERSION,15m,LONG,96,8,0.75,34058,-0.00018379176199737556,-0.1979403464885188,0.8430929180971972,-0.002451459472733383,0.0026419882064360415,0.008071266880100729,-0.0074541672822146165,TRBUSDT,0.033710116252861494,0.8797491319275101,False,NO_REPLICATION
R2B0023,derivatives.premium,CROWDING_REVERSION,15m,SHORT,4,8,0.0,105370,-0.001814211229378216,-30.897753068007525,1.1035533349947364e-208,-0.001976649368251252,-0.0016499728063428943,-0.0010780157897515555,-0.0021042291880749367,ETHUSDT,0.02655596960526092,1.1350834302803002e-207,True,NO_REPLICATION
R2B0024,derivatives.premium,CROWDING_REVERSION,15m,SHORT,16,8,0.0,83420,-0.002015141649510437,-9.81746712838968,9.742001543157272e-23,-0.002505625655771187,-0.0015093375821223776,-0.0004989007771753247,-0.0029215697583477676,ETHUSDT,0.026756290560338965,4.383900694420772e-22,True,NO_REPLICATION
R2B0025,derivatives.premium,CROWDING_REVERSION,15m,SHORT,48,8,0.125,53118,-0.002542553407634746,-4.89217757698976,1.0001771865850673e-06,-0.003931975859239461,-0.0011301149856271276,0.0018272369792859118,-0.004978913426196573,DOGEUSDT,0.03561120675794228,2.32299217529435e-06,True,NO_REPLICATION
R2B0026,derivatives.premium,CROWDING_REVERSION,15m,SHORT,96,8,0.25,33282,-0.003451271896645528,-3.71564781584173,0.0002030152090138327,-0.006260761125290381,-0.0007309256442843672,0.006053380465554547,-0.009397208061971307,DOGEUSDT,0.045253664495837655,0.0003480260725951418,False,NO_REPLICATION
R2B0027,derivatives.premium,CROWDING_REVERSION,1h,LONG,4,8,0.25,27614,-0.0010648628712164624,-4.670566818434414,3.017830904482207e-06,-0.0016161813612699245,-0.00043714666507777277,0.0015381740800515676,-0.0029601474375399797,BTCUSDT,0.028362974803261463,6.790119535084966e-06,False,NO_REPLICATION
R2B0028,derivatives.premium,CROWDING_REVERSION,1h,LONG,12,8,0.625,24024,-5.1631208293380435e-05,-0.08562537024229286,0.9317649435496663,-0.001428851994893092,0.0016422046685758576,0.006000520904782074,-0.004666526534234643,DYDXUSDT,0.027334162843766944,0.9411691858959165,False,NO_REPLICATION
R2B0029,derivatives.premium,CROWDING_REVERSION,1h,LONG,24,8,0.75,19441,0.00021337926706873521,0.2032671035335075,0.8389283937934406,-0.0023491011342723672,0.0033453435324456147,0.011056269409430176,-0.008379647448489408,TRBUSDT,0.03085028117247728,0.8797491319275101,False,NO_REPLICATION
