market,symbol,archive_dataset,interval,first_archive_month,last_archive_month,available_month_count,missing_month_count_inside_observed_span,object_count,compressed_bytes_from_s3_listing,first_key,last_key,eligible,instrument_class,exclusion_reason,evidence
spot,BALBUSD,klines,15m,2020-08,2023-09,38,0,38,3259009,data/spot/monthly/klines/BALBUSD/15m/BALBUSD-15m-2020-08.zip,data/spot/monthly/klines/BALBUSD/15m/BALBUSD-15m-2023-09.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BALUSDT,klines,15m,2020-08,2025-04,57,0,57,6482276,data/spot/monthly/klines/BALUSDT/15m/BALUSDT-15m-2020-08.zip,data/spot/monthly/klines/BALUSDT/15m/BALUSDT-15m-2025-04.zip,True,SPOT_ORDINARY_USDT,,USDT quote plus non-leveraged symbol policy
spot,BANANABNB,klines,15m,2024-07,2026-02,20,0,20,916320,data/spot/monthly/klines/BANANABNB/15m/BANANABNB-15m-2024-07.zip,data/spot/monthly/klines/BANANABNB/15m/BANANABNB-15m-2026-02.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BANANABTC,klines,15m,2024-07,2026-02,20,0,20,1223834,data/spot/monthly/klines/BANANABTC/15m/BANANABTC-15m-2024-07.zip,data/spot/monthly/klines/BANANABTC/15m/BANANABTC-15m-2026-02.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BANANAFDUSD,klines,15m,2024-07,2026-04,22,0,22,1160260,data/spot/monthly/klines/BANANAFDUSD/15m/BANANAFDUSD-15m-2024-07.zip,data/spot/monthly/klines/BANANAFDUSD/15m/BANANAFDUSD-15m-2026-04.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BANANAS31USDC,klines,15m,2025-03,2026-07,17,0,17,1805502,data/spot/monthly/klines/BANANAS31USDC/15m/BANANAS31USDC-15m-2025-03.zip,data/spot/monthly/klines/BANANAS31USDC/15m/BANANAS31USDC-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BANANAS31USDT,klines,15m,2025-03,2026-07,17,0,17,2080673,data/spot/monthly/klines/BANANAS31USDT/15m/BANANAS31USDT-15m-2025-03.zip,data/spot/monthly/klines/BANANAS31USDT/15m/BANANAS31USDT-15m-2026-07.zip,True,SPOT_ORDINARY_USDT,,USDT quote plus non-leveraged symbol policy
spot,BANANATRY,klines,15m,2024-07,2026-07,25,0,25,2232695,data/spot/monthly/klines/BANANATRY/15m/BANANATRY-15m-2024-07.zip,data/spot/monthly/klines/BANANATRY/15m/BANANATRY-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BANANAUSDC,klines,15m,2025-04,2026-07,16,0,16,1287860,data/spot/monthly/klines/BANANAUSDC/15m/BANANAUSDC-15m-2025-04.zip,data/spot/monthly/klines/BANANAUSDC/15m/BANANAUSDC-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BANANAUSDT,klines,15m,2024-07,2026-07,25,0,25,2908848,data/spot/monthly/klines/BANANAUSDT/15m/BANANAUSDT-15m-2024-07.zip,data/spot/monthly/klines/BANANAUSDT/15m/BANANAUSDT-15m-2026-07.zip,True,SPOT_ORDINARY_USDT,,USDT quote plus non-leveraged symbol policy
spot,BANDBNB,klines,15m,2019-09,2021-09,25,0,25,2018911,data/spot/monthly/klines/BANDBNB/15m/BANDBNB-15m-2019-09.zip,data/spot/monthly/klines/BANDBNB/15m/BANDBNB-15m-2021-09.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
