trial_id,fold_id,cohort,cohort_universe_symbol_count,trades,aggregate_observations,mean_net_return,sharpe,hac_t
T0281,F01,top50,404,3691,1651,-0.0016704015594921184,-0.14737231191439334,-4.948341777003284
T0281,F01,top100,585,3691,1651,-0.0016704015594921184,-0.14737231191439334,-4.948341777003284
T0281,F02,top20,213,5692,3450,-0.002024404150706283,-0.1269379226867621,-6.850102660156929
T0281,F02,top50,404,11701,5374,-0.001995233744919639,-0.13512057030636,-8.671961739086047
T0281,F02,top100,585,11701,5374,-0.001995233744919639,-0.13512057030636,-8.671961739086047
T0281,F03,top20,213,6207,3601,-0.0015845271282526406,-0.07306223334665898,-4.172530727698341
T0281,F03,top50,404,15981,6738,-0.001823808349972091,-0.07874797158148554,-5.7401971026006615
T0281,F03,top100,585,15981,6738,-0.001823808349972091,-0.07874797158148554,-5.7401971026006615
T0281,F04,top20,213,5587,3273,-0.002029086600288001,-0.12203100968832276,-6.473737287845648
T0281,F04,top50,404,14632,6397,-0.0026123209216136287,-0.1442381384490575,-9.863479337255566
T0281,F04,top100,585,14632,6397,-0.0026123209216136287,-0.1442381384490575,-9.863479337255566
T0281,F05,top20,213,4854,2394,-0.0023331407773624618,-0.15144566119386105,-6.927843784621214
T0281,F05,top50,404,12496,4557,-0.002344166879166513,-0.13512162166581695,-8.155596697367024
T0281,F05,top100,585,12496,4557,-0.002344166879166513,-0.13512162166581695,-8.155596697367024
T0281,F06,top20,213,4571,2367,-0.0028553395281991,-0.17357111823404325,-8.001628823252585
T0281,F06,top50,404,11796,4594,-0.002766312842002085,-0.16608110011896524,-10.250613212567542
T0281,F06,top100,585,11796,4594,-0.002766312842002085,-0.16608110011896524,-10.250613212567542
T0281,F07,top20,213,4795,2486,-0.0022289850952799707,-0.16078405735393275,-6.701880480168467
T0281,F07,top50,404,12440,4926,-0.002149826371328875,-0.12863921445115964,-7.634059548541608
T0281,F07,top100,585,12440,4926,-0.002149826371328875,-0.12863921445115964,-7.634059548541608
T0281,F08,top20,213,5109,3151,-0.0021136719885188524,-0.13798137144639464,-7.448592645727941
T0281,F08,top50,404,13177,5858,-0.002495332059204832,-0.17050299734493343,-11.98512265033163
T0281,F08,top100,585,13177,5858,-0.002495332059204832,-0.17050299734493343,-11.98512265033163
T0282,F01,top20,213,2282,1202,-0.0018648672715801033,-0.098687596596137,-2.3362676004590477
T0282,F01,top50,404,2715,1346,-0.0015383609877560266,-0.08000144318801332,-2.002852777793864
T0282,F01,top100,585,2715,1346,-0.0015383609877560266,-0.08000144318801332,-2.002852777793864
T0282,F02,top20,213,4159,2758,-0.0024321251430333354,-0.09064619526445523,-3.4753113032949865
T0282,F02,top50,404,8379,4357,-0.002325083321102304,-0.08779387921140085,-3.845911879526307
T0282,F02,top100,585,8379,4357,-0.002325083321102304,-0.08779387921140085,-3.845911879526307
T0282,F03,top20,213,4332,2795,-0.00041219517659720097,-0.011046233768051568,-0.4171162285360032
T0282,F03,top50,404,11090,5512,-0.0016296533338716376,-0.03830551374776415,-2.00985600140416
T0282,F03,top100,585,11090,5512,-0.0016296533338716376,-0.03830551374776415,-2.00985600140416
T0282,F04,top20,213,4036,2563,-0.0019475114506022195,-0.06888796286509276,-2.753649772761555
T0282,F04,top50,404,10411,5171,-0.0021027550102109393,-0.06535805888851837,-3.385676975900098
T0282,F04,top100,585,10411,5171,-0.0021027550102109393,-0.06535805888851837,-3.385676975900098
T0282,F05,top20,213,3602,1892,-0.00372419551176341,-0.13591268716451269,-4.351424068278566
T0282,F05,top50,404,9228,3748,-0.004110741023360378,-0.14516601620815126,-5.785460164225469
T0282,F05,top100,585,9228,3748,-0.004110741023360378,-0.14516601620815126,-5.785460164225469
T0282,F06,top20,213,3489,1949,-0.004294264889840652,-0.16336910094586013,-5.189459189156949
T0282,F06,top50,404,8917,3851,-0.004149970747840322,-0.15670464190791691,-6.3913964704757396
T0282,F06,top100,585,8917,3851,-0.004149970747840322,-0.15670464190791691,-6.3913964704757396
T0282,F07,top20,213,3623,2021,-0.0016869153784644698,-0.07072633592718895,-2.2249929338103343
T0282,F07,top50,404,9204,4047,-0.0020759422168929956,-0.08022735774827923,-3.285044513840882
T0282,F07,top100,585,9204,4047,-0.0020759422168929956,-0.08022735774827923,-3.285044513840882
T0282,F08,top20,213,3789,2522,-0.0017177044995714316,-0.06117567963275936,-2.6595391095414036
T0282,F08,top50,404,9690,4846,-0.002258068642378462,-0.09342177975259136,-4.8491770253030335
T0282,F08,top100,585,9690,4846,-0.002258068642378462,-0.09342177975259136,-4.8491770253030335
T0283,F01,top20,213,1626,924,-0.0006436455571252665,-0.01928112591878733,-0.3711168604502109
T0283,F01,top50,404,1924,1042,-0.0007371689064776509,-0.021734022768794575,-0.43688919010727495
T0283,F01,top100,585,1924,1042,-0.0007371689064776509,-0.021734022768794575,-0.43688919010727495
T0283,F02,top20,213,2930,2042,-0.00079044631712039,-0.01859063834292595,-0.5650084572454259
