trial_id,fold_id,feature_id,variant,market,timeframe,side,horizon_bars,valid_fold,trades,symbols_traded,aggregate_observations,aggregate_mean_net_return,aggregate_sum_net_return,mean_net_return,median_net_return,aggregate_hac_t,p_value,gross_return,net_return,funding_cashflow
T0573,F07,volatility.atr_natr,natr14_filter,um,15m,SHORT,48,True,5151,97,2707,-0.004658829725860579,-12.611452067904587,-0.00577852408488962,-0.003953990610328737,-2.8144920027206193,0.004920760612293827,-0.9999999999864408,-0.9999999999999997,-0.29471852
T0573,F08,volatility.atr_natr,natr14_filter,um,15m,SHORT,48,True,5597,99,3363,-0.006395347532009975,-21.507553750149548,-0.0074404921594568366,-0.004038982123312533,-5.285702057898402,1.332070604401561e-07,-0.9999999999999998,-1.0,-0.9380489599999999
T0574,F01,volatility.atr_natr,natr14_filter,um,15m,SHORT,96,True,874,24,523,-0.004750409122492183,-2.4844639710634118,-0.007263202602137354,-0.009982002751686094,-0.8884213122009975,0.37472335696415293,-0.9982081561005762,-0.9996667049487451,0.08549
T0574,F02,volatility.atr_natr,natr14_filter,um,15m,SHORT,96,True,3641,62,2318,-0.007849701064037803,-18.195607066439628,-0.009629935110321345,-0.006458910625285134,-2.871578226971508,0.004121380648061737,-1.0,-1.0,2.0045795
T0574,F03,volatility.atr_natr,natr14_filter,um,15m,SHORT,96,True,5912,80,3652,-0.012983334962764586,-47.41513928401627,-0.013699224604841612,-0.007107888752705356,-3.6299301537839144,0.00028738535883705737,-1.0,-1.0,9.392436400000001
T0574,F04,volatility.atr_natr,natr14_filter,um,15m,SHORT,96,True,3408,93,2041,-0.013095910153447781,-26.72875262318692,-0.01161166070603707,-0.007461142687997802,-4.359146567885902,1.3706318736284411e-05,-1.0,-1.0,0.94444561
T0574,F05,volatility.atr_natr,natr14_filter,um,15m,SHORT,96,True,4185,98,2146,0.005522776242643138,11.851877816712175,0.004784672995181402,0.0029805261381475974,1.5966133025704685,0.11049923300690627,18294247.688903354,1643.0928470758015,-0.9483210000000001
T0574,F06,volatility.atr_natr,natr14_filter,um,15m,SHORT,96,True,2539,85,1470,-0.0029816912325318743,-4.383086111821855,-0.0036168105055589335,-0.0024021485746383506,-0.8633762744800266,0.3880715570760273,-1.000015440484452,-1.0000000229445631,-1.2166446800000001
T0574,F07,volatility.atr_natr,natr14_filter,um,15m,SHORT,96,True,3475,97,1854,-0.006782412304986494,-12.574592413444961,-0.008118283601910492,-0.00530539557898544,-2.5279181328709686,0.011556598629110562,-0.9999999999995614,-0.9999999999999997,-0.24322111000000002
T0574,F08,volatility.atr_natr,natr14_filter,um,15m,SHORT,96,True,3591,99,2304,-0.010266851102508622,-23.654824940179864,-0.01087696458697842,-0.0038767984944593856,-4.99768631355406,6.238803920848952e-07,-1.0,-1.0,-0.9981026100000006
T0575,F01,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,4,True,22328,24,6321,-0.002067729702325554,-13.070119448399826,-0.0020969241918640416,-0.0024350348119323,-8.90461627143193,6.898233348526864e-19,-0.9823440587808083,-1.0,0.25571392000000004
T0575,F02,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,4,True,64720,62,13279,-0.0022274203180732695,-29.577914403694944,-0.0022680854150076597,-0.0023454550299858126,-14.525846616483086,1.9199943313755022e-47,-0.9999999999892107,-1.0,1.4516887900000002
T0575,F03,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,4,True,82984,80,13563,-0.0022443253334470544,-30.439784497542398,-0.002416026022461051,-0.002411555700298407,-9.324351113806113,1.2869322934635403e-20,-1.0,-1.0,6.37629924
T0575,F04,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,4,True,84057,93,13815,-0.0022531162624635274,-31.126801165933628,-0.0023371568039742643,-0.0022999458162395996,-14.471522843718336,4.0537062654848683e-47,-1.0,-1.0,1.4016471400000001
T0575,F05,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,4,True,80849,98,12734,-0.0017724425592640254,-22.5702835496681,-0.0018714429767948675,-0.0020614741501197003,-9.803837619203358,1.3031186764465834e-22,2.3203694096495466,-1.0,-0.43594107
T0575,F06,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,4,True,82375,85,13710,-0.001944089032810509,-26.65346063983208,-0.0019846538606834918,-0.0022607561929595104,-15.20370329555965,8.832439607318918e-52,-0.9644038455704957,-1.0,-0.77438024
T0575,F07,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,4,True,81310,97,13746,-0.002063898557164216,-28.37034956677931,-0.001995088949461665,-0.002090810026175614,-16.279214227708493,4.940394076418457e-59,-0.994257580668559,-1.0,0.23814159000000001
T0575,F08,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,4,True,82438,99,14718,-0.0022172357721902086,-32.63327609509549,-0.002193929708853953,-0.002180464758672505,-22.222245455266858,1.2242034167462282e-107,-0.9999999985802741,-1.0,-0.09706214999999985
T0576,F01,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,16,True,10711,24,4533,-0.0023482378135065794,-10.644562008625325,-0.002507498769899164,-0.002729687735706575,-3.739658853921029,0.00018654561306721642,-0.9997474111422405,-0.999999999999813,0.44357102000000004
T0576,F02,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,16,True,30763,62,10417,-0.0025769658954241637,-26.844253732633515,-0.00303619836022409,-0.0026389776357829114,-5.3425921093879865,9.355898694613057e-08,-1.0,-1.0,2.5698359899999996
T0576,F03,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,16,True,39255,80,11031,-0.0036104288643654305,-39.826640802815064,-0.0032065235267353005,-0.0024578754578754563,-5.159244506254436,2.522551357758826e-07,-1.0,-1.0,11.63783416
T0576,F04,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,16,True,39634,93,10994,-0.002437745472142829,-26.800573720738264,-0.002792454513311756,-0.0021706205106492736,-4.975336509582516,6.612021294177535e-07,-1.0,-1.0,2.75702493
T0576,F05,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,16,True,38304,98,9967,-0.0008862151684020331,-8.832906583463064,-0.0011453865319952425,-0.0018324596719142008,-1.5283496737806113,0.12645747919816083,-77112657.73129,-1.0,-0.8059022999999998
