trial_id,seed,blocks,preserve,samples,ci95_low,ci95_high
T0151,1729,calendar_month,all symbols together,1000,-0.003469577023381119,-0.0023829665751250763
T0152,1729,calendar_month,all symbols together,1000,-0.004416172038881737,-0.0015778711364635531
T0153,1729,calendar_month,all symbols together,1000,-0.005201680555754648,0.0006768814270165115
T0154,1729,calendar_month,all symbols together,1000,-0.003330081173525782,-0.0017676972387925757
T0155,1729,calendar_month,all symbols together,1000,-0.004180518924327902,-0.0009791346802145908
T0156,1729,calendar_month,all symbols together,1000,-0.004204565202809748,0.0017330025870369596
T0157,1729,calendar_month,all symbols together,1000,-0.0033757217033202605,-0.0009231084834883234
T0158,1729,calendar_month,all symbols together,1000,-0.004862669359460622,-0.0003491876859057368
T0159,1729,calendar_month,all symbols together,1000,-0.0052727550869251455,0.0018623749857350463
T0160,1729,calendar_month,all symbols together,1000,-0.002684498153447768,0.0011281936024761848
T0161,1729,calendar_month,all symbols together,1000,-0.007022450306991269,0.0012063021656050976
T0162,1729,calendar_month,all symbols together,1000,-0.005228545055934825,0.0076743072993005375
T0163,1729,calendar_month,all symbols together,1000,-0.003910020824701807,-0.0023150407581478917
T0164,1729,calendar_month,all symbols together,1000,-0.0041313570394099445,-0.0008078632046141083
T0165,1729,calendar_month,all symbols together,1000,-0.0029128591765138654,0.004361828597893858
T0166,1729,calendar_month,all symbols together,1000,-0.003713902579760072,-0.0027633167701936016
T0167,1729,calendar_month,all symbols together,1000,-0.004350880170693476,-0.0017697987906153928
T0168,1729,calendar_month,all symbols together,1000,-0.004483544828941669,0.0004145201563155908
T0169,1729,calendar_month,all symbols together,1000,-0.0038919443860714453,-0.0024889799024689313
T0170,1729,calendar_month,all symbols together,1000,-0.0049316360617327045,-0.001389213198504459
T0171,1729,calendar_month,all symbols together,1000,-0.0038040380030446097,0.0023557371350023375
T0172,1729,calendar_month,all symbols together,1000,-0.0045715514658299745,-0.0031344571141563356
T0173,1729,calendar_month,all symbols together,1000,-0.005178324122491257,-0.0018269973407272265
T0174,1729,calendar_month,all symbols together,1000,-0.005174662565764112,0.0013717638866693567
T0175,1729,calendar_month,all symbols together,1000,-0.0030198432350017836,-0.002167581073444279
T0176,1729,calendar_month,all symbols together,1000,-0.003473048314912499,-0.0006895327839235247
T0177,1729,calendar_month,all symbols together,1000,-0.004745049482067583,0.00035806077942946584
T0178,1729,calendar_month,all symbols together,1000,-0.0032548746795758488,-0.002433432799488081
T0179,1729,calendar_month,all symbols together,1000,-0.0036633040739847173,-0.001224318751047255
T0180,1729,calendar_month,all symbols together,1000,-0.003649222564514266,0.00102633241336708
T0181,1729,calendar_month,all symbols together,1000,-0.0031555550742556225,-0.0023147771211951365
T0182,1729,calendar_month,all symbols together,1000,-0.0035136343224835744,-0.001103809756457666
T0183,1729,calendar_month,all symbols together,1000,-0.0035826410198255233,0.0013099897033833382
T0184,1729,calendar_month,all symbols together,1000,-0.00314595566147057,-0.0018131691320744604
T0185,1729,calendar_month,all symbols together,1000,-0.0031227648804652225,4.487617038502609e-05
T0186,1729,calendar_month,all symbols together,1000,-0.002955744035572053,0.004429104124772467
T0187,1729,calendar_month,all symbols together,1000,-0.003162697129589717,-4.521761523789908e-05
T0188,1729,calendar_month,all symbols together,1000,-0.003362724754308893,0.0025482171620501834
T0189,1729,calendar_month,all symbols together,1000,-0.002716260093207997,0.0003594597872490619
T0190,1729,calendar_month,all symbols together,1000,-0.002288467281540609,0.0038801545872792246
T0191,1729,calendar_month,all symbols together,1000,-0.0031500554791944087,-0.0005025112352304274
T0192,1729,calendar_month,all symbols together,1000,-0.0025890875378626766,0.0028057369625912256
T0193,1729,calendar_month,all symbols together,1000,-0.003162697129589717,-4.521761523789908e-05
T0194,1729,calendar_month,all symbols together,1000,-0.003362724754308893,0.0025482171620501834
T0195,1729,calendar_month,all symbols together,1000,-0.002716260093207997,0.0003594597872490619
T0196,1729,calendar_month,all symbols together,1000,-0.002288467281540609,0.0038801545872792246
T0197,1729,calendar_month,all symbols together,1000,-0.0031500554791944087,-0.0005025112352304274
T0198,1729,calendar_month,all symbols together,1000,-0.0025890875378626766,0.0028057369625912256
T0199,1729,calendar_month,all symbols together,1000,-0.003409268752669987,-0.00034528664315176165
T0200,1729,calendar_month,all symbols together,1000,-0.0032802412327017413,0.002595815625646297
T0201,1729,calendar_month,all symbols together,1000,-0.0041369276860353035,-0.0010099792777095364
T0202,1729,calendar_month,all symbols together,1000,-0.0044764745854176495,0.0014815802408734851
T0203,1729,calendar_month,all symbols together,1000,-0.003519251845264584,0.0003284698039761718
T0204,1729,calendar_month,all symbols together,1000,-0.005337959093283872,0.0021706828810016537
T0205,1729,calendar_month,all symbols together,1000,-0.0037950011535426258,0.0011414602049537735
