trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars,status
T0042,trend.donchian,donchian_48,spot,15m,LONG,top50,16,REGISTERED
T0043,trend.donchian,donchian_48,spot,15m,LONG,top50,48,REGISTERED
T0044,trend.donchian,donchian_48,spot,15m,LONG,top50,96,REGISTERED
T0045,trend.donchian,donchian_55,spot,15m,LONG,top50,4,REGISTERED
T0046,trend.donchian,donchian_55,spot,15m,LONG,top50,16,REGISTERED
T0047,trend.donchian,donchian_55,spot,15m,LONG,top50,48,REGISTERED
T0048,trend.donchian,donchian_55,spot,15m,LONG,top50,96,REGISTERED
T0049,momentum.roc,roc_6,spot,15m,LONG,top50,4,REGISTERED
T0050,momentum.roc,roc_6,spot,15m,LONG,top50,16,REGISTERED
T0051,momentum.roc,roc_6,spot,15m,LONG,top50,48,REGISTERED
T0052,momentum.roc,roc_6,spot,15m,LONG,top50,96,REGISTERED
T0053,momentum.roc,roc_12,spot,15m,LONG,top50,4,REGISTERED
T0054,momentum.roc,roc_12,spot,15m,LONG,top50,16,REGISTERED
T0055,momentum.roc,roc_12,spot,15m,LONG,top50,48,REGISTERED
T0056,momentum.roc,roc_12,spot,15m,LONG,top50,96,REGISTERED
T0057,momentum.roc,roc_24,spot,15m,LONG,top50,4,REGISTERED
T0058,momentum.roc,roc_24,spot,15m,LONG,top50,16,REGISTERED
T0059,momentum.roc,roc_24,spot,15m,LONG,top50,48,REGISTERED
T0060,momentum.roc,roc_24,spot,15m,LONG,top50,96,REGISTERED
T0061,momentum.rsi,rsi_7_30_70,spot,15m,LONG,top50,4,REGISTERED
T0062,momentum.rsi,rsi_7_30_70,spot,15m,LONG,top50,16,REGISTERED
T0063,momentum.rsi,rsi_7_30_70,spot,15m,LONG,top50,48,REGISTERED
T0064,momentum.rsi,rsi_7_30_70,spot,15m,LONG,top50,96,REGISTERED
T0065,momentum.rsi,rsi_14_30_70,spot,15m,LONG,top50,4,REGISTERED
T0066,momentum.rsi,rsi_14_30_70,spot,15m,LONG,top50,16,REGISTERED
T0067,momentum.rsi,rsi_14_30_70,spot,15m,LONG,top50,48,REGISTERED
T0068,momentum.rsi,rsi_14_30_70,spot,15m,LONG,top50,96,REGISTERED
T0069,momentum.rsi,rsi_21_30_70,spot,15m,LONG,top50,4,REGISTERED
T0070,momentum.rsi,rsi_21_30_70,spot,15m,LONG,top50,16,REGISTERED
T0071,momentum.rsi,rsi_21_30_70,spot,15m,LONG,top50,48,REGISTERED
T0072,momentum.rsi,rsi_21_30_70,spot,15m,LONG,top50,96,REGISTERED
T0073,volatility.atr_natr,natr14_filter,spot,15m,LONG,top50,4,REGISTERED
T0074,volatility.atr_natr,natr14_filter,spot,15m,LONG,top50,16,REGISTERED
T0075,volatility.atr_natr,natr14_filter,spot,15m,LONG,top50,48,REGISTERED
T0076,volatility.atr_natr,natr14_filter,spot,15m,LONG,top50,96,REGISTERED
T0077,volatility.bollinger_bandwidth,bb20_2s_filter,spot,15m,LONG,top50,4,REGISTERED
T0078,volatility.bollinger_bandwidth,bb20_2s_filter,spot,15m,LONG,top50,16,REGISTERED
T0079,volatility.bollinger_bandwidth,bb20_2s_filter,spot,15m,LONG,top50,48,REGISTERED
T0080,volatility.bollinger_bandwidth,bb20_2s_filter,spot,15m,LONG,top50,96,REGISTERED
T0081,volatility.realized_percentile,rv20_p100_filter,spot,15m,LONG,top50,4,REGISTERED
T0082,volatility.realized_percentile,rv20_p100_filter,spot,15m,LONG,top50,16,REGISTERED
T0083,volatility.realized_percentile,rv20_p100_filter,spot,15m,LONG,top50,48,REGISTERED
T0084,volatility.realized_percentile,rv20_p100_filter,spot,15m,LONG,top50,96,REGISTERED
T0085,volume.rvol,rvol20_filter,spot,15m,LONG,top50,4,REGISTERED
T0086,volume.rvol,rvol20_filter,spot,15m,LONG,top50,16,REGISTERED
T0087,volume.rvol,rvol20_filter,spot,15m,LONG,top50,48,REGISTERED
T0088,volume.rvol,rvol20_filter,spot,15m,LONG,top50,96,REGISTERED
T0089,volume.vwap_deviation,vwap_dev20_reversal,spot,15m,LONG,top50,4,REGISTERED
T0090,volume.vwap_deviation,vwap_dev20_reversal,spot,15m,LONG,top50,16,REGISTERED
T0091,volume.vwap_deviation,vwap_dev20_reversal,spot,15m,LONG,top50,48,REGISTERED
T0092,volume.vwap_deviation,vwap_dev20_reversal,spot,15m,LONG,top50,96,REGISTERED
T0093,orderflow.taker_ratio,ratio_sign,spot,15m,LONG,top50,4,REGISTERED
T0094,orderflow.taker_ratio,ratio_sign,spot,15m,LONG,top50,16,REGISTERED
T0095,orderflow.taker_ratio,ratio_sign,spot,15m,LONG,top50,48,REGISTERED
T0096,orderflow.taker_ratio,ratio_sign,spot,15m,LONG,top50,96,REGISTERED
T0097,orderflow.cvd,cvd_slope6_sign,spot,15m,LONG,top50,4,REGISTERED
T0098,orderflow.cvd,cvd_slope6_sign,spot,15m,LONG,top50,16,REGISTERED
T0099,orderflow.cvd,cvd_slope6_sign,spot,15m,LONG,top50,48,REGISTERED
T0100,orderflow.cvd,cvd_slope6_sign,spot,15m,LONG,top50,96,REGISTERED
T0101,context.btc_regime,regime_follow,spot,15m,LONG,top50,4,REGISTERED
T0102,context.btc_regime,regime_follow,spot,15m,LONG,top50,16,REGISTERED
T0103,context.btc_regime,regime_follow,spot,15m,LONG,top50,48,REGISTERED
