trial_id,feature_id,variant,market,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_hac_t,fdr_q_value,max_top_symbol_share_abs,catastrophic_reversal,temporal_replication
T0585,volume.rvol,rvol20_filter,um,15m,SHORT,48,8,0.125,-5.108436588409132,9.001978863892057e-07,0.025854893973185664,True,NO_REPLICATION
T0586,volume.rvol,rvol20_filter,um,15m,SHORT,96,8,0.25,-3.6850964124399135,0.00047863255280063583,0.027929583821976023,False,NO_REPLICATION
T0587,volume.vwap_deviation,vwap_dev20_reversal,um,15m,SHORT,4,8,0.0,-35.900465497833174,2.9857245192251476e-279,0.024433594732782234,True,NO_REPLICATION
T0588,volume.vwap_deviation,vwap_dev20_reversal,um,15m,SHORT,16,8,0.0,-11.164798240364217,3.6553769410374415e-28,0.025709976765051424,True,NO_REPLICATION
T0589,volume.vwap_deviation,vwap_dev20_reversal,um,15m,SHORT,48,8,0.125,-4.681046247289175,7.4353129974372395e-06,0.034202676639404704,True,NO_REPLICATION
T0590,volume.vwap_deviation,vwap_dev20_reversal,um,15m,SHORT,96,8,0.125,-4.043312429141868,0.00011956172851660101,0.03475132534712554,False,NO_REPLICATION
T0591,orderflow.taker_ratio,ratio_sign,um,15m,SHORT,4,8,0.0,-39.32845515596159,0.0,0.02227420350881235,True,NO_REPLICATION
T0592,orderflow.taker_ratio,ratio_sign,um,15m,SHORT,16,8,0.0,-12.16166020653591,3.348380789904858e-33,0.023602366005170853,True,NO_REPLICATION
T0593,orderflow.taker_ratio,ratio_sign,um,15m,SHORT,48,8,0.125,-5.414244427673771,1.742062315703606e-07,0.03053724490029782,True,NO_REPLICATION
T0594,orderflow.taker_ratio,ratio_sign,um,15m,SHORT,96,8,0.25,-3.9255754931164164,0.00019048846639528496,0.0353229878090759,True,NO_REPLICATION
T0595,orderflow.cvd,cvd_slope6_sign,um,15m,SHORT,4,8,0.0,-39.584473551528575,0.0,0.022036910284976924,True,NO_REPLICATION
T0596,orderflow.cvd,cvd_slope6_sign,um,15m,SHORT,16,8,0.0,-11.897698156621734,7.824845802513743e-32,0.024167510470458824,True,NO_REPLICATION
T0597,orderflow.cvd,cvd_slope6_sign,um,15m,SHORT,48,8,0.125,-6.210303208869632,1.703326308370952e-09,0.030505345296858173,True,NO_REPLICATION
T0598,orderflow.cvd,cvd_slope6_sign,um,15m,SHORT,96,8,0.125,-4.5554452828686935,1.312127523853278e-05,0.03552076414981976,True,NO_REPLICATION
T0599,context.btc_regime,regime_follow,um,15m,SHORT,4,8,0.0,-12.7285094474476,6.097328340826733e-36,0.0222443321560308,True,NO_REPLICATION
