market,symbol,asset_base,classification,evidence,evidence_source,classification_version,primary_crypto_eligible,all_tradable_usdt_diagnostic
um,DOGEUSDT,DOGE,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DOGSUSDT,DOGS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DOLOUSDT,DOLO,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DOODUSDT,DOOD,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DOTBUSD,DOTBUSD,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,DOTECOUSDT,DOTECO,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DOTUSDT,DOT,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DRAMUSDT,DRAM,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DRIFTUSDT,DRIFT,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DUSDT,D,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DUSKUSDT,DUSK,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DYDXUSDT,DYDX,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DYMUSDT,DYM,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,EBAYUSDT,EBAY,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,EDENUSDT,EDEN,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,EDGEUSDT,EDGE,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,EDUUSDT,EDU,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,EGLDUSDT,EGLD,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,EIGENUSDT,EIGEN,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,ELSAUSDT,ELSA,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,ENAUSDC,ENAUSDC,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,ENAUSDT,ENA,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,ENJUSDT,ENJ,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,ENSOUSDT,ENSO,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,ENSUSDT,ENS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,EOSUSDT,EOS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,EPICUSDT,EPIC,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,EPTUSDT,EPT,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
